[2026-06-05 21:22:06.613882+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:07.422557+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:11.172773+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:11.181636+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:11.629617+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:12.435443+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:16.192983+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:16.198273+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:16.648785+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:17.451316+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:21.222690+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:21.232466+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:21.667075+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:22.470032+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:26.239554+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:26.247556+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:26.679202+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:27.482725+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:31.266826+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:31.280902+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:31.719713+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:32.493952+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:36.318389+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:36.362606+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:36.782870+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:37.508125+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:22:41.527033+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
