[2026-06-02 13:53:12.918879] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 14:15:05.646828] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 14:23:46.482307] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 14:27:58.130466] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 14:30:00.559732] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 14:37:30.486991] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 14:41:44.192899] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 14:46:46.528497] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 14:53:40.102927] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 14:55:47.312023] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 15:07:17.486939] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 15:12:31.808301] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 15:17:15.112510] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 15:23:26.545971] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 15:27:20.593250] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 15:29:27.337565] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 15:33:04.004807] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 15:47:35.805673] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 16:21:25.780896] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 16:40:59.443159] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 16:57:25.828655] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 17:01:34.093793] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 17:07:16.885882] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 17:12:22.931447] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 17:15:44.366123] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 17:18:27.270325] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 17:22:58.598370] WS-START: start() called with 5 tickers, rest_fallback_mode=False
